Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
38,302,0.8046,0.7754,0.2980,0.3411,0.3495,0.1156,0.6505,0.8844
32,312,0.8494,0.7779,0.1827,0.2500,0.4359,0.0556,0.5641,0.9444
33,323,0.8297,0.7305,0.1672,0.2260,0.5068,0.0720,0.4932,0.9280
62,91,0.8352,0.7716,0.2198,0.2527,0.3913,0.0882,0.6087,0.9118
34,304,0.8355,0.7607,0.1809,0.2599,0.4684,0.0578,0.5316,0.9422
28,304,0.9178,0.7580,0.0691,0.1184,0.5556,0.0187,0.4444,0.9813
67,59,0.9153,0.8985,0.2712,0.3220,0.2105,0.0250,0.7895,0.9750
44,255,0.8078,0.7912,0.3255,0.3922,0.3300,0.1032,0.6700,0.8968
49,210,0.8333,0.8042,0.2952,0.3190,0.2985,0.1049,0.7015,0.8951
31,343,0.8338,0.7401,0.1778,0.2216,0.4737,0.0787,0.5263,0.9213
40,304,0.8092,0.7817,0.2993,0.3454,0.3429,0.1106,0.6571,0.8894
66,57,0.7368,0.6360,0.1754,0.2982,0.6471,0.1000,0.3529,0.9000
20,277,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
78,9,1.0000,1.0000,0.1111,0.1111,0.0000,0.0000,1.0000,1.0000
25,313,0.9425,0.6388,0.0224,0.0607,0.7895,0.0102,0.2105,0.9898
36,327,0.8135,0.7654,0.2661,0.2813,0.3587,0.1191,0.6413,0.8809
64,78,0.8333,0.7606,0.1795,0.2692,0.4762,0.0526,0.5238,0.9474
22,299,0.9933,0.8983,0.0134,0.0201,0.3333,0.0000,0.6667,1.0000
39,316,0.7816,0.7522,0.3165,0.3386,0.3551,0.1483,0.6449,0.8517
63,82,0.8537,0.7416,0.1585,0.1829,0.4667,0.0746,0.5333,0.9254
90,19,0.7895,0.6042,0.1579,0.1579,0.6667,0.1250,0.3333,0.8750
26,280,0.9500,0.6688,0.0250,0.0536,0.7333,0.0113,0.2667,0.9887
42,316,0.8133,0.7859,0.3101,0.3323,0.3143,0.1232,0.6857,0.8768
41,300,0.8100,0.7857,0.3200,0.3433,0.3107,0.1269,0.6893,0.8731
24,319,0.9749,0.4937,0.0000,0.0251,1.0000,0.0000,0.0000,1.0000
51,234,0.7735,0.7592,0.3462,0.4103,0.3542,0.1377,0.6458,0.8623
45,274,0.8358,0.8225,0.3540,0.3723,0.2451,0.1163,0.7549,0.8837
35,307,0.8339,0.7740,0.2052,0.2801,0.4302,0.0633,0.5698,0.9367
55,162,0.8272,0.8017,0.3025,0.3395,0.3091,0.1028,0.6909,0.8972
27,325,0.9169,0.6638,0.0400,0.0923,0.7333,0.0169,0.2667,0.9831
50,222,0.7793,0.7689,0.3739,0.4144,0.3152,0.1538,0.6848,0.8462
21,260,0.9962,0.4990,0.0000,0.0038,1.0000,0.0000,0.0000,1.0000
23,345,0.9855,0.7690,0.0116,0.0203,0.5714,0.0030,0.4286,0.9970
30,327,0.8654,0.7485,0.1346,0.1835,0.5000,0.0524,0.5000,0.9476
61,122,0.8443,0.8113,0.2623,0.3197,0.3333,0.0723,0.6667,0.9277
56,145,0.7793,0.7044,0.1931,0.3034,0.5455,0.0792,0.4545,0.9208
57,160,0.8375,0.8229,0.3375,0.3750,0.2667,0.1000,0.7333,0.9000
52,187,0.7540,0.7374,0.3743,0.3743,0.3286,0.1966,0.6714,0.8034
53,161,0.7702,0.7595,0.3602,0.4286,0.3478,0.1413,0.6522,0.8587
69,35,0.9714,0.9639,0.2571,0.2857,0.1000,0.0000,0.9000,1.0000
37,311,0.7910,0.7319,0.2186,0.3119,0.4845,0.0841,0.5155,0.9159
19,238,1.0000,1.0000,0.0042,0.0042,0.0000,0.0000,1.0000,1.0000
43,288,0.7639,0.7508,0.3542,0.4167,0.3583,0.1488,0.6417,0.8512
70,43,0.8837,0.7734,0.1628,0.1395,0.3333,0.0811,0.6667,0.9189
