Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8044,0.7970,0.3935,0.4153,0.2616,0.1486,0.7384,0.8514
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8646,0.6948,0.0965,0.1576,0.6234,0.0441,0.3766,0.9559
Assoc-voc,497,0.8129,0.7378,0.1992,0.2656,0.4773,0.0822,0.5227,0.9178
Prof-school,224,0.8750,0.8371,0.7812,0.7009,0.0318,0.3433,0.9682,0.6567
10th,355,0.9408,0.7006,0.0254,0.0789,0.7143,0.0031,0.2857,0.9969
Some-college,2683,0.8628,0.7462,0.1394,0.1826,0.4939,0.0575,0.5061,0.9425
7th-8th,249,0.9157,0.5578,0.0120,0.0884,0.9091,0.0044,0.0909,0.9956
Masters,637,0.7943,0.7931,0.5196,0.5589,0.2191,0.1886,0.7809,0.8114
11th,442,0.9638,0.7240,0.0204,0.0475,0.6667,0.0048,0.3333,0.9952
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8259,0.7498,0.2058,0.2427,0.4348,0.0906,0.5652,0.9094
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7548,0.6985,0.7742,0.6581,0.0980,0.5283,0.9020,0.4717
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
