Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
38 + White,267,0.8015,0.7761,0.3146,0.3483,0.3333,0.1264,0.6667,0.8736
32 + Black,38,0.9474,0.8190,0.0789,0.0789,0.3333,0.0286,0.6667,0.9714
33 + White,262,0.8206,0.7314,0.1679,0.2557,0.5224,0.0615,0.4776,0.9385
62 + White,84,0.8214,0.7724,0.2738,0.2619,0.3182,0.1290,0.6818,0.8710
34 + White,254,0.8307,0.7641,0.1929,0.2756,0.4571,0.0598,0.5429,0.9402
28 + White,247,0.9069,0.7569,0.0769,0.1377,0.5588,0.0188,0.4412,0.9812
67 + White,56,0.9107,0.8926,0.2857,0.3036,0.1765,0.0513,0.8235,0.9487
44 + White,213,0.7840,0.7739,0.3568,0.4319,0.3370,0.1240,0.6630,0.8760
49 + White,181,0.7956,0.7739,0.3481,0.3425,0.2903,0.1597,0.7097,0.8403
31 + White,290,0.8034,0.7159,0.1966,0.2483,0.5000,0.0963,0.5000,0.9037
40 + White,255,0.7843,0.7594,0.3255,0.3529,0.3444,0.1455,0.6556,0.8545
66 + White,49,0.6939,0.5973,0.1837,0.3265,0.6875,0.1212,0.3125,0.8788
20 + White,243,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
78 + White,9,1.0000,1.0000,0.1111,0.1111,0.0000,0.0000,1.0000,1.0000
25 + White,268,0.9440,0.6283,0.0149,0.0634,0.8235,0.0040,0.1765,0.9960
36 + White,279,0.8029,0.7650,0.2939,0.3047,0.3412,0.1340,0.6588,0.8660
64 + White,71,0.8732,0.8143,0.1831,0.2535,0.3889,0.0377,0.6111,0.9623
22 + White,245,0.9918,0.8313,0.0082,0.0163,0.5000,0.0000,0.5000,1.0000
39 + White,273,0.7692,0.7463,0.3480,0.3516,0.3333,0.1751,0.6667,0.8249
63 + White,70,0.8143,0.7017,0.1714,0.2143,0.5333,0.0909,0.4667,0.9091
90 + White,16,0.7500,0.5897,0.1875,0.1875,0.6667,0.1538,0.3333,0.8462
26 + White,240,0.9500,0.6870,0.0250,0.0583,0.7143,0.0088,0.2857,0.9912
42 + White,265,0.8113,0.7821,0.3057,0.3283,0.3218,0.1236,0.6782,0.8764
41 + White,260,0.8077,0.7876,0.3231,0.3692,0.3229,0.1159,0.6771,0.8841
24 + White,266,0.9662,0.4914,0.0038,0.0301,1.0000,0.0039,0.0000,0.9961
42 + Black,33,0.8485,0.8019,0.2424,0.2727,0.3333,0.0833,0.6667,0.9167
51 + Amer-Indian-Eskimo,5,0.8000,0.4444,0.2000,0.0000,0,0.2000,0,0.8000
45 + White,232,0.8190,0.8069,0.3664,0.3836,0.2584,0.1329,0.7416,0.8671
35 + White,252,0.8175,0.7566,0.2024,0.2976,0.4667,0.0621,0.5333,0.9379
55 + White,141,0.7943,0.7782,0.3688,0.3617,0.2745,0.1667,0.7255,0.8333
27 + White,265,0.9019,0.6485,0.0491,0.1019,0.7407,0.0252,0.2593,0.9748
50 + Black,15,0.9333,0.8800,0.2000,0.1333,0.0000,0.0769,1.0000,0.9231
21 + White,227,0.9956,0.4989,0.0000,0.0044,1.0000,0.0000,0.0000,1.0000
23 + White,286,0.9790,0.6197,0.0035,0.0245,0.8571,0.0000,0.1429,1.0000
34 + Black,31,0.9355,0.8155,0.0645,0.1290,0.5000,0.0000,0.5000,1.0000
32 + White,255,0.8314,0.7696,0.2039,0.2784,0.4366,0.0652,0.5634,0.9348
30 + White,276,0.8442,0.7311,0.1522,0.1993,0.5091,0.0679,0.4909,0.9321
61 + White,107,0.7944,0.7665,0.3178,0.3364,0.3333,0.1408,0.6667,0.8592
56 + White,134,0.7463,0.6713,0.2090,0.3134,0.5714,0.1087,0.4286,0.8913
57 + White,141,0.8582,0.8464,0.3333,0.3901,0.2545,0.0698,0.7455,0.9302
52 + White,161,0.7764,0.7653,0.3913,0.3913,0.2857,0.1837,0.7143,0.8163
53 + Asian-Pac-Islander,7,0.7143,0.4167,0.1429,0.1429,1.0000,0.1667,0.0000,0.8333
40 + Amer-Indian-Eskimo,6,0.8333,0.7778,0.3333,0.1667,0.0000,0.2000,1.0000,0.8000
69 + White,33,0.9697,0.9604,0.2424,0.2727,0.1111,0.0000,0.8889,1.0000
55 + Asian-Pac-Islander,3,0.6667,0.4000,0.0000,0.3333,1.0000,0.0000,0.0000,1.0000
