Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
38,302,0.9338,0.9236,0.2947,0.3411,0.1650,0.0151,0.8350,0.9849
32,312,0.9647,0.9536,0.2596,0.2500,0.0513,0.0299,0.9487,0.9701
33,323,0.9690,0.9562,0.2322,0.2260,0.0548,0.0240,0.9452,0.9760
62,91,0.9231,0.8967,0.2418,0.2527,0.1739,0.0441,0.8261,0.9559
34,304,0.9539,0.9375,0.2270,0.2599,0.1519,0.0089,0.8481,0.9911
28,304,0.9803,0.9516,0.1118,0.1184,0.1111,0.0075,0.8889,0.9925
67,59,0.9322,0.9174,0.2542,0.3220,0.2105,0.0000,0.7895,1.0000
44,255,0.9725,0.9711,0.3804,0.3922,0.0500,0.0129,0.9500,0.9871
49,210,0.9571,0.9497,0.2952,0.3190,0.1045,0.0140,0.8955,0.9860
31,343,0.9679,0.9537,0.2245,0.2216,0.0658,0.0225,0.9342,0.9775
40,304,0.9572,0.9524,0.3355,0.3454,0.0762,0.0251,0.9238,0.9749
66,57,0.9298,0.9131,0.2632,0.2982,0.1765,0.0250,0.8235,0.9750
20,277,0.9964,0.4991,0.0036,0.0000,0,0.0036,0,0.9964
78,9,0.8889,0.8000,0.2222,0.1111,0.0000,0.1250,1.0000,0.8750
25,313,0.9936,0.9720,0.0607,0.0607,0.0526,0.0034,0.9474,0.9966
36,327,0.9297,0.9109,0.2599,0.2813,0.1630,0.0340,0.8370,0.9660
64,78,0.9487,0.9304,0.2179,0.2692,0.1905,0.0000,0.8095,1.0000
22,299,0.9967,0.9607,0.0234,0.0201,0.0000,0.0034,1.0000,0.9966
39,316,0.9399,0.9321,0.3228,0.3386,0.1121,0.0335,0.8879,0.9665
63,82,0.9512,0.9223,0.2073,0.1829,0.0667,0.0448,0.9333,0.9552
90,19,0.8421,0.6545,0.1053,0.1579,0.6667,0.0625,0.3333,0.9375
26,280,0.9857,0.9337,0.0607,0.0536,0.0667,0.0113,0.9333,0.9887
42,316,0.9367,0.9283,0.3259,0.3323,0.1048,0.0427,0.8952,0.9573
41,300,0.9700,0.9668,0.3467,0.3433,0.0388,0.0254,0.9612,0.9746
24,319,0.9937,0.9270,0.0188,0.0251,0.2500,0.0000,0.7500,1.0000
51,234,0.9402,0.9378,0.3932,0.4103,0.0938,0.0362,0.9062,0.9638
45,274,0.9526,0.9493,0.3759,0.3723,0.0588,0.0407,0.9412,0.9593
35,307,0.9544,0.9418,0.2541,0.2801,0.1279,0.0136,0.8721,0.9864
55,162,0.9506,0.9459,0.3642,0.3395,0.0364,0.0561,0.9636,0.9439
27,325,0.9877,0.9643,0.0985,0.0923,0.0333,0.0102,0.9667,0.9898
50,222,0.9505,0.9483,0.3829,0.4144,0.0978,0.0154,0.9022,0.9846
21,260,1.0000,1.0000,0.0038,0.0038,0.0000,0.0000,1.0000,1.0000
23,345,1.0000,1.0000,0.0203,0.0203,0.0000,0.0000,1.0000,1.0000
30,327,0.9541,0.9186,0.1560,0.1835,0.2000,0.0112,0.8000,0.9888
61,122,0.9426,0.9345,0.3279,0.3197,0.0769,0.0482,0.9231,0.9518
56,145,0.9448,0.9310,0.2483,0.3034,0.1818,0.0000,0.8182,1.0000
57,160,0.9000,0.8910,0.3375,0.3750,0.1833,0.0500,0.8167,0.9500
52,187,0.9626,0.9594,0.3476,0.3743,0.0857,0.0085,0.9143,0.9915
53,161,0.8571,0.8527,0.3975,0.4286,0.2029,0.0978,0.7971,0.9022
69,35,1.0000,1.0000,0.2857,0.2857,0.0000,0.0000,1.0000,1.0000
37,311,0.9453,0.9365,0.3151,0.3119,0.0825,0.0421,0.9175,0.9579
19,238,1.0000,1.0000,0.0042,0.0042,0.0000,0.0000,1.0000,1.0000
43,288,0.9236,0.9206,0.3889,0.4167,0.1250,0.0417,0.8750,0.9583
70,43,0.9302,0.8641,0.1628,0.1395,0.1667,0.0541,0.8333,0.9459
48,219,0.9589,0.9578,0.4064,0.4292,0.0745,0.0160,0.9255,0.9840
60,107,0.9159,0.8968,0.2710,0.2991,0.1875,0.0400,0.8125,0.9600
59,125,0.8240,0.8050,0.3360,0.3520,0.2727,0.1235,0.7273,0.8765
54,147,0.9252,0.9162,0.3129,0.3605,0.1698,0.0213,0.8302,0.9787
18,233,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
88,4,0.5000,0.3333,0.5000,0.0000,0,0.5000,0,0.5000
29,304,0.9737,0.9543,0.1678,0.1809,0.1091,0.0080,0.8909,0.9920
68,33,0.7879,0.6647,0.1818,0.2121,0.5714,0.1154,0.4286,0.8846
47,261,0.9540,0.9515,0.3793,0.3946,0.0777,0.0253,0.9223,0.9747
46,269,0.9703,0.9689,0.3903,0.3978,0.0467,0.0185,0.9533,0.9815
77,11,0.9091,0.8070,0.0909,0.1818,0.5000,0.0000,0.5000,1.0000
76,19,0.8947,0.7206,0.0526,0.1579,0.6667,0.0000,0.3333,1.0000
73,22,1.0000,1.0000,0.1364,0.1364,0.0000,0.0000,1.0000,1.0000
58,140,0.9429,0.9393,0.3643,0.3929,0.1091,0.0235,0.8909,0.9765
72,31,0.9355,0.8155,0.0645,0.1290,0.5000,0.0000,0.5000,1.0000
17,166,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
75,23,0.7826,0.6547,0.1304,0.2609,0.6667,0.0588,0.3333,0.9412
65,72,0.9722,0.9654,0.2917,0.2639,0.0000,0.0377,1.0000,0.9623
71,31,0.9355,0.8967,0.1613,0.2258,0.2857,0.0000,0.7143,1.0000
79,9,0.8889,0.8615,0.2222,0.3333,0.3333,0.0000,0.6667,1.0000
74,14,0.7143,0.6500,0.2143,0.3571,0.6000,0.1111,0.4000,0.8889
80,11,1.0000,1.0000,0.1818,0.1818,0.0000,0.0000,1.0000,1.0000
84,2,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
86,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
82,2,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
81,6,1.0000,1.0000,0.1667,0.1667,0.0000,0.0000,1.0000,1.0000
83,4,1.0000,1.0000,0.2500,0.2500,0.0000,0.0000,1.0000,1.0000
