Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.9594,0.9581,0.4046,0.4153,0.0616,0.0256,0.9384,0.9744
9th,187,0.9840,0.8292,0.0160,0.0321,0.5000,0.0000,0.5000,1.0000
HS-grad,4011,0.9766,0.9549,0.1496,0.1576,0.0997,0.0092,0.9003,0.9908
Assoc-voc,497,0.9296,0.9082,0.2515,0.2656,0.1591,0.0384,0.8409,0.9616
Prof-school,224,0.9420,0.9286,0.7321,0.7009,0.0191,0.1493,0.9809,0.8507
10th,355,0.9662,0.8709,0.0620,0.0789,0.3214,0.0092,0.6786,0.9908
Some-college,2683,0.9601,0.9325,0.1778,0.1826,0.1224,0.0214,0.8776,0.9786
7th-8th,249,0.9558,0.8215,0.0442,0.0884,0.5000,0.0000,0.5000,1.0000
Masters,637,0.9074,0.9070,0.5071,0.5589,0.1292,0.0463,0.8708,0.9537
11th,442,0.9751,0.8161,0.0226,0.0475,0.5238,0.0000,0.4762,1.0000
5th-6th,99,0.9091,0.5668,0.0202,0.0909,0.8889,0.0111,0.1111,0.9889
Assoc-acdm,379,0.9050,0.8689,0.2322,0.2427,0.2174,0.0557,0.7826,0.9443
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9351,0.7741,0.0714,0.0844,0.4615,0.0284,0.5385,0.9716
Doctorate,155,0.8645,0.8473,0.6774,0.6581,0.0882,0.2264,0.9118,0.7736
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
