Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
United-States,10993,0.9683,0.9564,0.2360,0.2430,0.0797,0.0163,0.9203,0.9837
Ireland,12,0.8333,0.8125,0.2500,0.4167,0.4000,0.0000,0.6000,1.0000
Cuba,30,0.8333,0.7778,0.2333,0.2667,0.3750,0.0909,0.6250,0.9091
Missing,209,0.8517,0.8029,0.2297,0.2727,0.3509,0.0724,0.6491,0.9276
Puerto-Rico,49,0.9592,0.8225,0.0408,0.0816,0.5000,0.0000,0.5000,1.0000
Philippines,73,0.8767,0.8064,0.1781,0.2192,0.3750,0.0526,0.6250,0.9474
China,32,0.8438,0.7997,0.2188,0.3125,0.4000,0.0455,0.6000,0.9545
Germany,54,0.8704,0.8272,0.2407,0.2593,0.2857,0.0750,0.7143,0.9250
Mexico,211,0.9763,0.7666,0.0237,0.0284,0.5000,0.0098,0.5000,0.9902
Peru,11,0.9091,0.8070,0.1818,0.0909,0.0000,0.1000,1.0000,0.9000
India,36,0.7222,0.7078,0.3056,0.4722,0.4706,0.1053,0.5294,0.8947
Guatemala,21,0.9524,0.4878,0.0476,0.0000,0,0.0476,0,0.9524
Taiwan,15,0.8667,0.8661,0.4667,0.4667,0.1429,0.1250,0.8571,0.8750
Vietnam,23,0.8261,0.6167,0.2174,0.0435,0.0000,0.1818,1.0000,0.8182
Jamaica,26,0.8077,0.4468,0.0000,0.1923,1.0000,0.0000,0.0000,1.0000
Hungary,4,1.0000,1.0000,0.2500,0.2500,0.0000,0.0000,1.0000,1.0000
Portugal,10,0.7000,0.4118,0.0000,0.3000,1.0000,0.0000,0.0000,1.0000
Greece,14,0.5000,0.4759,0.2143,0.5714,0.7500,0.1667,0.2500,0.8333
Haiti,20,0.9000,0.8039,0.1500,0.1500,0.3333,0.0588,0.6667,0.9412
Nicaragua,17,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
South,26,0.8846,0.8271,0.1538,0.2692,0.4286,0.0000,0.5714,1.0000
France,7,0.4286,0.4167,0.7143,0.4286,0.3333,0.7500,0.6667,0.2500
Canada,48,0.8125,0.7681,0.2083,0.3542,0.4706,0.0323,0.5294,0.9677
El-Salvador,35,0.9714,0.9206,0.0857,0.1143,0.2500,0.0000,0.7500,1.0000
England,38,0.7895,0.7286,0.1842,0.3421,0.5385,0.0400,0.4615,0.9600
Poland,18,0.7222,0.6296,0.1667,0.3333,0.6667,0.0833,0.3333,0.9167
Outlying-US(Guam-USVI-etc),9,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
Honduras,9,0.8889,0.4706,0.0000,0.1111,1.0000,0.0000,0.0000,1.0000
Dominican-Republic,20,0.9500,0.8857,0.1500,0.1000,0.0000,0.0556,1.0000,0.9444
Italy,28,0.7857,0.7143,0.1429,0.3571,0.6000,0.0000,0.4000,1.0000
Trinadad&Tobago,10,0.8000,0.4444,0.1000,0.1000,1.0000,0.1111,0.0000,0.8889
Iran,14,0.7143,0.5758,0.2143,0.2143,0.6667,0.1818,0.3333,0.8182
Columbia,19,0.9474,0.8190,0.1053,0.0526,0.0000,0.0556,1.0000,0.9444
Hong,7,0.7143,0.4167,0.1429,0.1429,1.0000,0.1667,0.0000,0.8333
Yugoslavia,7,0.5714,0.3636,0.1429,0.2857,1.0000,0.2000,0.0000,0.8000
Ecuador,7,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
Cambodia,7,0.7143,0.7083,0.2857,0.5714,0.5000,0.0000,0.5000,1.0000
Japan,23,0.8696,0.8208,0.1739,0.3043,0.4286,0.0000,0.5714,1.0000
Scotland,5,1.0000,1.0000,0.2000,0.2000,0.0000,0.0000,1.0000,1.0000
Laos,6,0.8333,0.7778,0.1667,0.3333,0.5000,0.0000,0.5000,1.0000
Thailand,8,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
