Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
51,413,0.8741,0.8595,0.6562,0.6659,0.1018,0.1739,0.8982,0.8261
57,238,0.8655,0.8624,0.5714,0.5798,0.1232,0.1500,0.8768,0.8500
31,474,0.8544,0.8513,0.4177,0.4367,0.1884,0.1124,0.8116,0.8876
44,530,0.8887,0.8658,0.7057,0.7075,0.0800,0.1871,0.9200,0.8129
25,334,0.9461,0.8526,0.0838,0.1198,0.3750,0.0102,0.6250,0.9898
33,510,0.8745,0.8745,0.5020,0.5098,0.1308,0.1200,0.8692,0.8800
41,580,0.8966,0.8847,0.6603,0.6603,0.0783,0.1523,0.9217,0.8477
45,575,0.8939,0.8737,0.6991,0.7009,0.0769,0.1744,0.9231,0.8256
60,146,0.8356,0.8348,0.4452,0.4863,0.2113,0.1200,0.7887,0.8800
48,436,0.9014,0.8780,0.7248,0.7133,0.0611,0.1920,0.9389,0.8080
52,341,0.8358,0.8193,0.6452,0.6569,0.1339,0.2222,0.8661,0.7778
68,49,0.8776,0.8733,0.3469,0.4694,0.2609,0.0000,0.7391,1.0000
42,628,0.8901,0.8743,0.6911,0.6640,0.0624,0.2038,0.9376,0.7962
47,527,0.8843,0.8629,0.6945,0.7002,0.0867,0.1835,0.9133,0.8165
35,517,0.8859,0.8841,0.5513,0.5725,0.1182,0.1086,0.8818,0.8914
40,577,0.8891,0.8758,0.6724,0.6551,0.0714,0.1859,0.9286,0.8141
21,260,1.0000,1.0000,0.0038,0.0038,0.0000,0.0000,1.0000,1.0000
38,588,0.9031,0.8902,0.6803,0.6616,0.0591,0.1709,0.9409,0.8291
37,537,0.8808,0.8759,0.5978,0.6015,0.1022,0.1449,0.8978,0.8551
46,518,0.9073,0.8911,0.6988,0.6873,0.0590,0.1667,0.9410,0.8333
59,187,0.7914,0.7873,0.5722,0.5668,0.1792,0.2469,0.8208,0.7531
36,587,0.8859,0.8803,0.6150,0.5997,0.0824,0.1617,0.9176,0.8383
43,562,0.8772,0.8484,0.7349,0.7011,0.0635,0.2619,0.9365,0.7381
34,483,0.8799,0.8796,0.5176,0.5342,0.1279,0.1111,0.8721,0.8889
27,359,0.9304,0.8724,0.1476,0.1783,0.2812,0.0237,0.7188,0.9763
19,238,1.0000,1.0000,0.0042,0.0042,0.0000,0.0000,1.0000,1.0000
20,278,1.0000,1.0000,0.0036,0.0036,0.0000,0.0000,1.0000,1.0000
24,334,0.9521,0.7374,0.0269,0.0689,0.6522,0.0032,0.3478,0.9968
32,461,0.8980,0.8980,0.4902,0.4924,0.1057,0.0983,0.8943,0.9017
63,117,0.8632,0.8615,0.4615,0.4274,0.1200,0.1493,0.8800,0.8507
49,419,0.8807,0.8682,0.6492,0.6587,0.0978,0.1608,0.9022,0.8392
23,343,0.9913,0.7835,0.0058,0.0146,0.6000,0.0000,0.4000,1.0000
29,373,0.8660,0.8471,0.3164,0.3324,0.2258,0.0884,0.7742,0.9116
39,570,0.8632,0.8508,0.6544,0.6333,0.0914,0.2153,0.9086,0.7847
26,303,0.9637,0.9123,0.1089,0.1254,0.2105,0.0113,0.7895,0.9887
62,124,0.8226,0.8218,0.4839,0.4516,0.1607,0.1912,0.8393,0.8088
22,300,0.9867,0.7966,0.0100,0.0233,0.5714,0.0000,0.4286,1.0000
54,298,0.8893,0.8707,0.6946,0.6846,0.0735,0.1915,0.9265,0.8085
72,36,0.8889,0.8615,0.3056,0.2500,0.1111,0.1111,0.8889,0.8889
18,233,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
28,365,0.9123,0.8811,0.2219,0.2658,0.2474,0.0299,0.7526,0.9701
30,435,0.8759,0.8675,0.3632,0.3862,0.1905,0.0824,0.8095,0.9176
58,192,0.8750,0.8733,0.5573,0.5573,0.1121,0.1412,0.8879,0.8588
67,68,0.9265,0.9237,0.3971,0.4118,0.1071,0.0500,0.8929,0.9500
53,302,0.8642,0.8403,0.6921,0.6954,0.1000,0.2174,0.9000,0.7826
79,12,0.8333,0.8286,0.3333,0.5000,0.3333,0.0000,0.6667,1.0000
50,434,0.8664,0.8386,0.7143,0.7005,0.0855,0.2462,0.9145,0.7538
55,255,0.8353,0.8284,0.6196,0.5804,0.1081,0.2430,0.8919,0.7570
56,256,0.8555,0.8485,0.6094,0.6055,0.1161,0.1881,0.8839,0.8119
65,88,0.8636,0.8562,0.3750,0.3977,0.2000,0.0943,0.8000,0.9057
66,61,0.8361,0.8140,0.3115,0.3443,0.2857,0.1000,0.7143,0.9000
61,173,0.8150,0.8149,0.4509,0.5202,0.2444,0.1205,0.7556,0.8795
69,45,0.9556,0.9545,0.4000,0.4444,0.1000,0.0000,0.9000,1.0000
90,21,0.8095,0.7375,0.2381,0.2381,0.4000,0.1250,0.6000,0.8750
76,21,1.0000,1.0000,0.2381,0.2381,0.0000,0.0000,1.0000,1.0000
64,98,0.8571,0.8496,0.3571,0.4184,0.2439,0.0702,0.7561,0.9298
73,25,0.8800,0.8441,0.2800,0.2400,0.1667,0.1053,0.8333,0.8947
74,22,0.9545,0.9521,0.6364,0.5909,0.0000,0.1111,1.0000,0.8889
17,166,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
78,12,1.0000,1.0000,0.3333,0.3333,0.0000,0.0000,1.0000,1.0000
70,43,0.8837,0.7981,0.2093,0.1395,0.1667,0.1081,0.8333,0.8919
75,22,0.7727,0.6508,0.1818,0.2273,0.6000,0.1176,0.4000,0.8824
71,34,0.9412,0.9244,0.2353,0.2941,0.2000,0.0000,0.8000,1.0000
80,9,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
81,7,1.0000,1.0000,0.2857,0.2857,0.0000,0.0000,1.0000,1.0000
77,11,0.9091,0.8070,0.0909,0.1818,0.5000,0.0000,0.5000,1.0000
88,5,0.6000,0.5833,0.6000,0.2000,0.0000,0.5000,1.0000,0.5000
82,2,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
83,5,1.0000,1.0000,0.4000,0.4000,0.0000,0.0000,1.0000,1.0000
84,4,1.0000,1.0000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000
85,1,0.0000,0.0000,0.0000,1.0000,1.0000,0,0.0000,0
86,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
