Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
HS-grad,5208,0.8792,0.8654,0.3280,0.3512,0.2050,0.0752,0.7950,0.9248
Bachelors,3530,0.8830,0.8677,0.6827,0.6569,0.0694,0.2081,0.9306,0.7919
Some-college,2919,0.8654,0.8155,0.2312,0.2487,0.3058,0.0780,0.6942,0.9220
11th,464,0.9504,0.8150,0.0517,0.0927,0.4884,0.0048,0.5116,0.9952
Assoc-voc,952,0.8824,0.8741,0.6397,0.6166,0.0767,0.1836,0.9233,0.8164
Masters,1216,0.8972,0.8533,0.7780,0.7689,0.0610,0.2420,0.9390,0.7580
Prof-school,700,0.9429,0.8177,0.9243,0.9043,0.0205,0.4030,0.9795,0.5970
Assoc-acdm,598,0.8512,0.8496,0.5819,0.5201,0.0836,0.2195,0.9164,0.7805
Preschool,546,0.9945,0.9652,0.9560,0.9615,0.0057,0.0000,0.9943,1.0000
5th-6th,134,0.9552,0.9473,0.2836,0.3284,0.1364,0.0000,0.8636,1.0000
Doctorate,1178,0.9652,0.7440,0.9745,0.9550,0.0080,0.6038,0.9920,0.3962
12th,183,0.9180,0.8717,0.1694,0.2295,0.3095,0.0142,0.6905,0.9858
9th,244,0.9221,0.8892,0.1967,0.2582,0.2698,0.0110,0.7302,0.9890
1st-4th,72,0.9444,0.9387,0.3194,0.3750,0.1481,0.0000,0.8519,1.0000
7th-8th,280,0.9357,0.8869,0.1536,0.1893,0.2642,0.0176,0.7358,0.9824
10th,354,0.9520,0.7895,0.0452,0.0763,0.5185,0.0092,0.4815,0.9908
