Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
United-States,16321,0.8918,0.8917,0.4884,0.4901,0.1121,0.1044,0.8879,0.8956
Puerto-Rico,100,0.9700,0.9696,0.5600,0.5500,0.0182,0.0444,0.9818,0.9556
Yugoslavia,6,0.6667,0.4000,0.1667,0.1667,1.0000,0.2000,0.0000,0.8000
Iran,45,0.8000,0.7372,0.7333,0.7556,0.1471,0.3636,0.8529,0.6364
Germany,80,0.8750,0.8750,0.5000,0.5000,0.1250,0.1250,0.8750,0.8750
Cuba,37,0.8649,0.8582,0.3784,0.4054,0.2000,0.0909,0.8000,0.9091
Trinadad&Tobago,87,0.9425,0.8646,0.8621,0.8966,0.0513,0.1111,0.9487,0.8889
Missing,219,0.8584,0.8340,0.3105,0.3059,0.2239,0.1053,0.7761,0.8947
Greece,28,0.9286,0.8939,0.7857,0.7857,0.0455,0.1667,0.9545,0.8333
Poland,63,0.9841,0.9750,0.7937,0.8095,0.0196,0.0000,0.9804,1.0000
Laos,39,0.9744,0.9372,0.8718,0.8974,0.0286,0.0000,0.9714,1.0000
South,69,0.9710,0.9637,0.7246,0.7246,0.0200,0.0526,0.9800,0.9474
Dominican-Republic,32,0.9688,0.9685,0.4688,0.4375,0.0000,0.0556,1.0000,0.9444
Haiti,49,0.8980,0.8889,0.6327,0.6531,0.0938,0.1176,0.9062,0.8824
Honduras,27,0.9259,0.9167,0.6296,0.7037,0.1053,0.0000,0.8947,1.0000
Mexico,252,0.9524,0.9188,0.1706,0.1865,0.1702,0.0195,0.8298,0.9805
Jamaica,56,0.9107,0.9083,0.5357,0.6250,0.1429,0.0000,0.8571,1.0000
Taiwan,74,0.9730,0.9299,0.8919,0.8919,0.0152,0.1250,0.9848,0.8750
Canada,60,0.9167,0.9166,0.5000,0.4833,0.0690,0.0968,0.9310,0.9032
Columbia,32,0.9375,0.9352,0.3750,0.4375,0.1429,0.0000,0.8571,1.0000
China,37,0.8108,0.8086,0.4865,0.4054,0.1333,0.2273,0.8667,0.7727
Peru,47,1.0000,1.0000,0.7872,0.7872,0.0000,0.0000,1.0000,1.0000
England,50,0.8200,0.8193,0.4400,0.5000,0.2400,0.1200,0.7600,0.8800
Portugal,56,0.9464,0.8960,0.8214,0.8750,0.0612,0.0000,0.9388,1.0000
Philippines,120,0.8583,0.8575,0.5500,0.5250,0.1111,0.1754,0.8889,0.8246
Vietnam,29,0.9310,0.9137,0.3103,0.2414,0.0000,0.0909,1.0000,0.9091
Outlying-US(Guam-USVI-etc),34,1.0000,1.0000,0.7353,0.7353,0.0000,0.0000,1.0000,1.0000
Scotland,56,0.9821,0.9396,0.9107,0.9286,0.0192,0.0000,0.9808,1.0000
Nicaragua,46,0.9565,0.9544,0.5870,0.6304,0.0690,0.0000,0.9310,1.0000
Ireland,34,0.8824,0.8365,0.7353,0.7941,0.1111,0.1429,0.8889,0.8571
Hungary,23,0.9565,0.9158,0.8261,0.8696,0.0500,0.0000,0.9500,1.0000
Italy,44,0.8864,0.8834,0.5682,0.5909,0.1154,0.1111,0.8846,0.8889
India,55,0.8182,0.8036,0.6182,0.6545,0.1667,0.2105,0.8333,0.7895
Thailand,68,0.9706,0.9292,0.8824,0.8824,0.0167,0.1250,0.9833,0.8750
El-Salvador,42,0.9762,0.9683,0.2381,0.2619,0.0909,0.0000,0.9091,1.0000
Guatemala,34,0.9706,0.9684,0.3529,0.3824,0.0769,0.0000,0.9231,1.0000
Japan,45,0.9333,0.9282,0.6222,0.6444,0.0690,0.0625,0.9310,0.9375
Hong,23,0.9565,0.9403,0.7826,0.7391,0.0000,0.1667,1.0000,0.8333
France,19,0.8421,0.6545,0.9474,0.7895,0.0000,0.7500,1.0000,0.2500
Holand-Netherlands,16,0.9375,0.4839,0.9375,1.0000,0.0625,0,0.9375,0
Ecuador,12,1.0000,1.0000,0.4167,0.4167,0.0000,0.0000,1.0000,1.0000
Cambodia,12,0.7500,0.6975,0.6667,0.7500,0.2222,0.3333,0.7778,0.6667
