Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9252,0.7997,0.0883,0.1202,0.4439,0.0244,0.5561,0.9756
Black + Male,600,0.8900,0.7823,0.1183,0.1783,0.4766,0.0304,0.5234,0.9696
White + Male,7181,0.8117,0.7732,0.2721,0.3158,0.3673,0.1056,0.6327,0.8944
Black + Female,586,0.9573,0.7903,0.0444,0.0631,0.4865,0.0128,0.5135,0.9872
Amer-Indian-Eskimo + Male,73,0.9178,0.7630,0.1233,0.0685,0.2000,0.0735,0.8000,0.9265
Asian-Pac-Islander + Female,131,0.9237,0.7707,0.0611,0.1221,0.5625,0.0087,0.4375,0.9913
Amer-Indian-Eskimo + Female,53,0.9057,0.6964,0.0566,0.1132,0.6667,0.0213,0.3333,0.9787
Asian-Pac-Islander + Male,238,0.7815,0.7469,0.2941,0.3361,0.3875,0.1329,0.6125,0.8671
Other + Female,26,0.9231,0.7292,0.0769,0.0769,0.5000,0.0417,0.5000,0.9583
Other + Male,62,0.8871,0.6992,0.0645,0.1452,0.6667,0.0189,0.3333,0.9811
