Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Male,11117,0.8674,0.8656,0.5573,0.5581,0.1194,0.1492,0.8806,0.8508
White + Female,4555,0.9398,0.9350,0.3570,0.3701,0.0991,0.0373,0.9009,0.9627
Black + Male,898,0.9120,0.9110,0.4432,0.4510,0.1062,0.0730,0.8938,0.9270
Other + Male,378,0.9656,0.9324,0.8413,0.8598,0.0308,0.0566,0.9692,0.9434
Asian-Pac-Islander + Female,186,0.9140,0.9073,0.3495,0.3817,0.1549,0.0435,0.8451,0.9565
Asian-Pac-Islander + Male,377,0.8302,0.8244,0.6021,0.5809,0.1279,0.2278,0.8721,0.7722
Black + Female,735,0.9646,0.9525,0.2422,0.2531,0.0914,0.0164,0.9086,0.9836
Amer-Indian-Eskimo + Female,62,0.9194,0.8816,0.1935,0.2419,0.2667,0.0213,0.7333,0.9787
Other + Female,174,0.9655,0.9322,0.8391,0.8621,0.0333,0.0417,0.9667,0.9583
Amer-Indian-Eskimo + Male,96,0.8750,0.8545,0.3333,0.2917,0.1429,0.1176,0.8571,0.8824
