Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8073,0.7999,0.3916,0.4153,0.2605,0.1445,0.7395,0.8555
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8679,0.6998,0.0942,0.1576,0.6203,0.0408,0.3797,0.9592
Assoc-voc,497,0.8028,0.7245,0.2012,0.2656,0.4924,0.0904,0.5076,0.9096
Prof-school,224,0.8705,0.8304,0.7857,0.7009,0.0318,0.3582,0.9682,0.6418
10th,355,0.9380,0.6942,0.0282,0.0789,0.7143,0.0061,0.2857,0.9939
Some-college,2683,0.8580,0.7408,0.1450,0.1826,0.4918,0.0638,0.5082,0.9362
7th-8th,249,0.9197,0.5622,0.0080,0.0884,0.9091,0.0000,0.0909,1.0000
Masters,637,0.7991,0.7977,0.5243,0.5589,0.2107,0.1886,0.7893,0.8114
11th,442,0.9615,0.6970,0.0181,0.0475,0.7143,0.0048,0.2857,0.9952
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8311,0.7488,0.1847,0.2427,0.4674,0.0732,0.5326,0.9268
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7161,0.6641,0.7355,0.6581,0.1569,0.5283,0.8431,0.4717
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
