Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9583,0.6179,0.0120,0.0441,0.8364,0.0050,0.1636,0.9950
Farming-fishing,370,0.8865,0.6990,0.0865,0.1243,0.6087,0.0432,0.3913,0.9568
Sales,1368,0.8363,0.7745,0.2149,0.2617,0.4022,0.0792,0.5978,0.9208
Exec-managerial,1472,0.8003,0.8001,0.4626,0.5061,0.2403,0.1582,0.7597,0.8418
Craft-repair,1564,0.8037,0.6870,0.1682,0.2212,0.5636,0.0920,0.4364,0.9080
Prof-specialty,1568,0.8131,0.8072,0.3948,0.4298,0.2582,0.1331,0.7418,0.8669
Machine-op-inspct,727,0.8569,0.6223,0.0633,0.1486,0.7685,0.0339,0.2315,0.9661
Tech-support,394,0.8223,0.7685,0.2157,0.3020,0.4370,0.0655,0.5630,0.9345
Adm-clerical,1413,0.9002,0.7707,0.1154,0.1331,0.4415,0.0473,0.5585,0.9527
Missing,715,0.9231,0.7269,0.0559,0.0965,0.6087,0.0201,0.3913,0.9799
Handlers-cleaners,514,0.9455,0.7264,0.0350,0.0700,0.6389,0.0105,0.3611,0.9895
Transport-moving,576,0.8385,0.7032,0.1372,0.1875,0.5648,0.0684,0.4352,0.9316
Protective-serv,229,0.7729,0.7181,0.2664,0.2926,0.4328,0.1420,0.5672,0.8580
Priv-house-serv,52,0.9808,0.8949,0.0385,0.0577,0.3333,0.0000,0.6667,1.0000
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
