Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9218,0.7915,0.0892,0.1202,0.4541,0.0268,0.5459,0.9732
Black + Male,600,0.8883,0.7759,0.1133,0.1783,0.4953,0.0284,0.5047,0.9716
White + Male,7181,0.8081,0.7687,0.2715,0.3158,0.3739,0.1079,0.6261,0.8921
Black + Female,586,0.9573,0.7838,0.0410,0.0631,0.5135,0.0109,0.4865,0.9891
Amer-Indian-Eskimo + Male,73,0.8904,0.6840,0.1233,0.0685,0.4000,0.0882,0.6000,0.9118
Asian-Pac-Islander + Female,131,0.9237,0.7707,0.0611,0.1221,0.5625,0.0087,0.4375,0.9913
Amer-Indian-Eskimo + Female,53,0.9245,0.7792,0.0755,0.1132,0.5000,0.0213,0.5000,0.9787
Asian-Pac-Islander + Male,238,0.7983,0.7664,0.2941,0.3361,0.3625,0.1203,0.6375,0.8797
Other + Female,26,0.9231,0.4800,0.0000,0.0769,1.0000,0.0000,0.0000,1.0000
Other + Male,62,0.9194,0.7852,0.0645,0.1452,0.5556,0.0000,0.4444,1.0000
