Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8020,0.7929,0.3747,0.4153,0.2872,0.1346,0.7128,0.8654
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8654,0.6997,0.0997,0.1576,0.6108,0.0456,0.3892,0.9544
Assoc-voc,497,0.8290,0.7632,0.2072,0.2656,0.4318,0.0767,0.5682,0.9233
Prof-school,224,0.8616,0.8280,0.7411,0.7009,0.0701,0.2985,0.9299,0.7015
10th,355,0.9324,0.6821,0.0338,0.0789,0.7143,0.0122,0.2857,0.9878
Some-college,2683,0.8565,0.7395,0.1472,0.1826,0.4898,0.0661,0.5102,0.9339
7th-8th,249,0.9197,0.5622,0.0080,0.0884,0.9091,0.0000,0.0909,1.0000
Masters,637,0.7928,0.7920,0.5024,0.5589,0.2360,0.1708,0.7640,0.8292
11th,442,0.9593,0.6895,0.0204,0.0475,0.7143,0.0071,0.2857,0.9929
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8179,0.7395,0.2084,0.2427,0.4457,0.0976,0.5543,0.9024
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7032,0.6672,0.6710,0.6581,0.2157,0.4528,0.7843,0.5472
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
