Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9567,0.6513,0.0200,0.0441,0.7636,0.0101,0.2364,0.9899
Farming-fishing,370,0.8730,0.6811,0.1000,0.1243,0.6087,0.0586,0.3913,0.9414
Sales,1368,0.8348,0.7705,0.2091,0.2617,0.4162,0.0762,0.5838,0.9238
Exec-managerial,1472,0.7921,0.7914,0.4355,0.5061,0.2752,0.1389,0.7248,0.8611
Craft-repair,1564,0.8120,0.7028,0.1726,0.2212,0.5347,0.0895,0.4653,0.9105
Prof-specialty,1568,0.8125,0.8059,0.3852,0.4298,0.2700,0.1253,0.7300,0.8747
Machine-op-inspct,727,0.8583,0.6479,0.0784,0.1486,0.7130,0.0420,0.2870,0.9580
Tech-support,394,0.8376,0.7910,0.2259,0.3020,0.3950,0.0618,0.6050,0.9382
Adm-clerical,1413,0.8910,0.7451,0.1104,0.1331,0.4947,0.0498,0.5053,0.9502
Missing,715,0.9231,0.7358,0.0615,0.0965,0.5797,0.0232,0.4203,0.9768
Handlers-cleaners,514,0.9397,0.7121,0.0409,0.0700,0.6389,0.0167,0.3611,0.9833
Transport-moving,576,0.8229,0.6813,0.1458,0.1875,0.5833,0.0833,0.4167,0.9167
Protective-serv,229,0.7729,0.7125,0.2489,0.2926,0.4627,0.1296,0.5373,0.8704
Priv-house-serv,52,0.9615,0.7400,0.0192,0.0577,0.6667,0.0000,0.3333,1.0000
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
