Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Female,3261,0.9264,0.7972,0.0816,0.1202,0.4668,0.0199,0.5332,0.9801
Black + Male,600,0.8867,0.7736,0.1150,0.1783,0.4953,0.0304,0.5047,0.9696
White + Male,7181,0.8123,0.7729,0.2679,0.3158,0.3730,0.1022,0.6270,0.8978
Black + Female,586,0.9608,0.8011,0.0410,0.0631,0.4865,0.0091,0.5135,0.9909
Amer-Indian-Eskimo + Male,73,0.9041,0.7045,0.1096,0.0685,0.4000,0.0735,0.6000,0.9265
Asian-Pac-Islander + Female,131,0.9084,0.7248,0.0611,0.1221,0.6250,0.0174,0.3750,0.9826
Amer-Indian-Eskimo + Female,53,0.9245,0.7296,0.0377,0.1132,0.6667,0.0000,0.3333,1.0000
Asian-Pac-Islander + Male,238,0.8109,0.7785,0.2815,0.3361,0.3625,0.1013,0.6375,0.8987
Other + Female,26,0.9615,0.8231,0.0385,0.0769,0.5000,0.0000,0.5000,1.0000
Other + Male,62,0.8871,0.6992,0.0645,0.1452,0.6667,0.0189,0.3333,0.9811
