Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
HS-grad,5209,0.8792,0.8654,0.3281,0.3513,0.2049,0.0752,0.7951,0.9248
Bachelors,3530,0.8841,0.8692,0.6810,0.6569,0.0699,0.2040,0.9301,0.7960
Some-college,2919,0.8571,0.8028,0.2264,0.2487,0.3320,0.0803,0.6680,0.9197
11th,464,0.9483,0.8096,0.0539,0.0927,0.4884,0.0071,0.5116,0.9929
Assoc-voc,952,0.8834,0.8754,0.6366,0.6166,0.0784,0.1781,0.9216,0.8219
Masters,1216,0.8890,0.8424,0.7747,0.7689,0.0684,0.2527,0.9316,0.7473
Prof-school,700,0.9371,0.8025,0.9214,0.9043,0.0253,0.4179,0.9747,0.5821
Assoc-acdm,598,0.8645,0.8637,0.5585,0.5201,0.0932,0.1812,0.9068,0.8188
Preschool,547,0.9909,0.9444,0.9525,0.9616,0.0095,0.0000,0.9905,1.0000
5th-6th,134,0.9403,0.9297,0.2836,0.3284,0.1591,0.0111,0.8409,0.9889
Doctorate,1176,0.9660,0.7586,0.9719,0.9549,0.0089,0.5660,0.9911,0.4340
12th,183,0.9290,0.8931,0.1913,0.2295,0.2381,0.0213,0.7619,0.9787
9th,244,0.9303,0.9033,0.2131,0.2582,0.2222,0.0166,0.7778,0.9834
1st-4th,72,0.9722,0.9699,0.3472,0.3750,0.0741,0.0000,0.9259,1.0000
7th-8th,280,0.9429,0.8977,0.1464,0.1893,0.2642,0.0088,0.7358,0.9912
10th,354,0.9492,0.7819,0.0480,0.0763,0.5185,0.0122,0.4815,0.9878
