Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
United-States,16321,0.8899,0.8898,0.4891,0.4901,0.1134,0.1069,0.8866,0.8931
Puerto-Rico,100,0.9500,0.9496,0.5400,0.5500,0.0545,0.0444,0.9455,0.9556
Yugoslavia,6,0.8333,0.4545,0.0000,0.1667,1.0000,0.0000,0.0000,1.0000
Iran,45,0.8444,0.7826,0.7778,0.7556,0.0882,0.3636,0.9118,0.6364
Germany,80,0.8625,0.8623,0.4625,0.5000,0.1750,0.1000,0.8250,0.9000
Cuba,37,0.8919,0.8879,0.4054,0.4054,0.1333,0.0909,0.8667,0.9091
Trinadad&Tobago,87,0.9655,0.9114,0.8851,0.8966,0.0256,0.1111,0.9744,0.8889
Missing,219,0.8447,0.8140,0.2877,0.3059,0.2836,0.0987,0.7164,0.9013
Greece,28,0.8571,0.7879,0.7857,0.7857,0.0909,0.3333,0.9091,0.6667
Poland,63,1.0000,1.0000,0.8095,0.8095,0.0000,0.0000,1.0000,1.0000
Laos,39,0.9744,0.9372,0.8718,0.8974,0.0286,0.0000,0.9714,1.0000
South,69,0.9710,0.9637,0.7246,0.7246,0.0200,0.0526,0.9800,0.9474
Dominican-Republic,32,0.9375,0.9365,0.4375,0.4375,0.0714,0.0556,0.9286,0.9444
Haiti,49,0.9388,0.9333,0.6327,0.6531,0.0625,0.0588,0.9375,0.9412
Honduras,27,1.0000,1.0000,0.7037,0.7037,0.0000,0.0000,1.0000,1.0000
Mexico,252,0.9643,0.9397,0.1746,0.1865,0.1277,0.0146,0.8723,0.9854
Jamaica,56,0.9643,0.9626,0.5893,0.6250,0.0571,0.0000,0.9429,1.0000
Taiwan,74,0.9595,0.9003,0.8784,0.8919,0.0303,0.1250,0.9697,0.8750
Canada,60,0.9167,0.9165,0.4667,0.4833,0.1034,0.0645,0.8966,0.9355
Columbia,32,0.9688,0.9685,0.4688,0.4375,0.0000,0.0556,1.0000,0.9444
China,37,0.8378,0.8348,0.4595,0.4054,0.1333,0.1818,0.8667,0.8182
Peru,47,1.0000,1.0000,0.7872,0.7872,0.0000,0.0000,1.0000,1.0000
England,50,0.8400,0.8390,0.4200,0.5000,0.2400,0.0800,0.7600,0.9200
Portugal,56,0.9464,0.8960,0.8214,0.8750,0.0612,0.0000,0.9388,1.0000
Philippines,120,0.8833,0.8830,0.5250,0.5250,0.1111,0.1228,0.8889,0.8772
Vietnam,29,0.8966,0.8752,0.3448,0.2414,0.0000,0.1364,1.0000,0.8636
Outlying-US(Guam-USVI-etc),34,1.0000,1.0000,0.7353,0.7353,0.0000,0.0000,1.0000,1.0000
Scotland,56,0.9821,0.9396,0.9107,0.9286,0.0192,0.0000,0.9808,1.0000
Nicaragua,46,0.9565,0.9544,0.5870,0.6304,0.0690,0.0000,0.9310,1.0000
Ireland,34,0.9118,0.8717,0.7647,0.7941,0.0741,0.1429,0.9259,0.8571
Hungary,23,0.9565,0.9158,0.8261,0.8696,0.0500,0.0000,0.9500,1.0000
Italy,45,0.8889,0.8853,0.5778,0.6000,0.1111,0.1111,0.8889,0.8889
India,55,0.8364,0.8250,0.6000,0.6545,0.1667,0.1579,0.8333,0.8421
Thailand,68,0.9853,0.9625,0.8971,0.8824,0.0000,0.1250,1.0000,0.8750
El-Salvador,42,0.9524,0.9344,0.2143,0.2619,0.1818,0.0000,0.8182,1.0000
Guatemala,34,1.0000,1.0000,0.3824,0.3824,0.0000,0.0000,1.0000,1.0000
Japan,45,0.9333,0.9282,0.6222,0.6444,0.0690,0.0625,0.9310,0.9375
Hong,22,0.9545,0.9394,0.7727,0.7273,0.0000,0.1667,1.0000,0.8333
France,19,0.7895,0.6042,0.8947,0.7895,0.0667,0.7500,0.9333,0.2500
Holand-Netherlands,16,0.9375,0.4839,0.9375,1.0000,0.0625,0,0.9375,0
Ecuador,12,1.0000,1.0000,0.4167,0.4167,0.0000,0.0000,1.0000,1.0000
Cambodia,12,0.8333,0.8125,0.5833,0.7500,0.2222,0.0000,0.7778,1.0000
