Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Prof-specialty,2507,0.8803,0.8689,0.6522,0.6434,0.0862,0.1801,0.9138,0.8199
Machine-op-inspct,1190,0.9151,0.9150,0.4807,0.4798,0.0876,0.0824,0.9124,0.9176
Handlers-cleaners,977,0.9560,0.9560,0.5077,0.5107,0.0461,0.0418,0.9539,0.9582
Missing,788,0.9188,0.8602,0.1726,0.1802,0.2465,0.0449,0.7535,0.9551
Protective-serv,714,0.8992,0.8563,0.7731,0.7731,0.0652,0.2222,0.9348,0.7778
Priv-house-serv,510,0.9941,0.9832,0.9020,0.9039,0.0043,0.0204,0.9957,0.9796
Exec-managerial,2323,0.8687,0.8469,0.6901,0.6870,0.0934,0.2146,0.9066,0.7854
Other-service,1694,0.9610,0.9532,0.2957,0.2957,0.0659,0.0277,0.9341,0.9723
Farming-fishing,835,0.9210,0.9166,0.6168,0.6120,0.0607,0.1080,0.9393,0.8920
Adm-clerical,1678,0.9076,0.8839,0.2777,0.2700,0.1567,0.0686,0.8433,0.9314
Armed-Forces,195,0.9538,0.5790,0.9487,0.9949,0.0464,0.0000,0.9536,1.0000
Craft-repair,2337,0.8395,0.8391,0.4673,0.4788,0.1796,0.1429,0.8204,0.8571
Sales,1695,0.8690,0.8638,0.4006,0.4041,0.1664,0.1069,0.8336,0.8931
Tech-support,521,0.8868,0.8863,0.4626,0.4722,0.1301,0.0982,0.8699,0.9018
Transport-moving,614,0.7997,0.6956,0.1775,0.2378,0.5479,0.0919,0.4521,0.9081
