Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
White + Male,11116,0.8667,0.8648,0.5605,0.5580,0.1172,0.1537,0.8828,0.8463
White + Female,4555,0.9368,0.9318,0.3592,0.3701,0.1002,0.0415,0.8998,0.9585
Black + Male,898,0.9220,0.9212,0.4443,0.4510,0.0938,0.0649,0.9062,0.9351
Other + Male,378,0.9656,0.9314,0.8466,0.8598,0.0277,0.0755,0.9723,0.9245
Asian-Pac-Islander + Female,186,0.9194,0.9128,0.3441,0.3817,0.1549,0.0348,0.8451,0.9652
Asian-Pac-Islander + Male,377,0.8515,0.8475,0.5809,0.5809,0.1279,0.1772,0.8721,0.8228
Black + Female,735,0.9673,0.9563,0.2449,0.2531,0.0806,0.0164,0.9194,0.9836
Amer-Indian-Eskimo + Female,62,0.9355,0.9077,0.2097,0.2419,0.2000,0.0213,0.8000,0.9787
Other + Female,175,0.9943,0.9881,0.8571,0.8629,0.0066,0.0000,0.9934,1.0000
Amer-Indian-Eskimo + Male,96,0.8958,0.8765,0.3125,0.2917,0.1429,0.0882,0.8571,0.9118
