Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Bachelors,2071,0.8011,0.7935,0.3930,0.4153,0.2663,0.1511,0.7337,0.8489
9th,187,0.9679,0.4918,0.0000,0.0321,1.0000,0.0000,0.0000,1.0000
HS-grad,4011,0.8644,0.6985,0.1007,0.1576,0.6108,0.0468,0.3892,0.9532
Assoc-voc,497,0.8089,0.7353,0.2072,0.2656,0.4697,0.0904,0.5303,0.9096
Prof-school,224,0.8705,0.8341,0.7679,0.7009,0.0446,0.3284,0.9554,0.6716
10th,355,0.9380,0.6942,0.0282,0.0789,0.7143,0.0061,0.2857,0.9939
Some-college,2683,0.8580,0.7370,0.1390,0.1826,0.5082,0.0602,0.4918,0.9398
7th-8th,249,0.9197,0.5622,0.0080,0.0884,0.9091,0.0000,0.0909,1.0000
Masters,637,0.7928,0.7914,0.5212,0.5589,0.2191,0.1922,0.7809,0.8078
11th,442,0.9593,0.6895,0.0204,0.0475,0.7143,0.0071,0.2857,0.9929
5th-6th,99,0.9091,0.4762,0.0000,0.0909,1.0000,0.0000,0.0000,1.0000
Assoc-acdm,379,0.8047,0.7194,0.2058,0.2427,0.4783,0.1045,0.5217,0.8955
Preschool,22,1.0000,1.0000,0.0455,0.0455,0.0000,0.0000,1.0000,1.0000
12th,154,0.9481,0.7640,0.0325,0.0844,0.6154,0.0000,0.3846,1.0000
Doctorate,155,0.7226,0.6611,0.7677,0.6581,0.1275,0.5660,0.8725,0.4340
1st-4th,46,0.9783,0.4945,0.0000,0.0217,1.0000,0.0000,0.0000,1.0000
