Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
Other-service,1248,0.9591,0.6303,0.0128,0.0441,0.8182,0.0050,0.1818,0.9950
Farming-fishing,370,0.8838,0.6953,0.0892,0.1243,0.6087,0.0463,0.3913,0.9537
Sales,1368,0.8341,0.7688,0.2069,0.2617,0.4218,0.0752,0.5782,0.9248
Exec-managerial,1472,0.7962,0.7960,0.4654,0.5061,0.2416,0.1651,0.7584,0.8349
Craft-repair,1564,0.7999,0.6848,0.1746,0.2212,0.5578,0.0985,0.4422,0.9015
Prof-specialty,1568,0.8068,0.8007,0.3960,0.4298,0.2641,0.1398,0.7359,0.8602
Machine-op-inspct,727,0.8556,0.6293,0.0702,0.1486,0.7500,0.0388,0.2500,0.9612
Tech-support,394,0.8401,0.7973,0.2386,0.3020,0.3697,0.0691,0.6303,0.9309
Adm-clerical,1413,0.8946,0.7528,0.1097,0.1331,0.4840,0.0473,0.5160,0.9527
Missing,715,0.9189,0.7236,0.0629,0.0965,0.5942,0.0263,0.4058,0.9737
Handlers-cleaners,514,0.9436,0.7215,0.0370,0.0700,0.6389,0.0126,0.3611,0.9874
Transport-moving,576,0.8299,0.6963,0.1493,0.1875,0.5556,0.0812,0.4444,0.9188
Protective-serv,229,0.7686,0.7113,0.2620,0.2926,0.4478,0.1420,0.5522,0.8580
Priv-house-serv,52,0.9615,0.7400,0.0192,0.0577,0.6667,0.0000,0.3333,1.0000
Armed-Forces,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
