Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
male : single + Young,38,0.7368,0.6955,0.6842,0.6842,0.1923,0.4167,0.8077,0.5833
male : single + Early-Middle,59,0.8475,0.6110,0.9322,0.8475,0.0400,0.7778,0.9600,0.2222
female : divorced/separated/married + Young,40,0.7000,0.6703,0.7000,0.6000,0.1667,0.5000,0.8333,0.5000
male : married/widowed + Young,14,0.7857,0.7143,0.8571,0.6429,0.0000,0.6000,1.0000,0.4000
female : divorced/separated/married + Early-Middle,15,0.9333,0.8800,0.8667,0.8000,0.0000,0.3333,1.0000,0.6667
male : divorced/separated + Young,1,1.0000,1.0000,0.0000,0.0000,0,0.0000,0,1.0000
female : divorced/separated/married + Late-Career,11,0.9091,0.8070,0.9091,0.8182,0.0000,0.5000,1.0000,0.5000
male : single + Mid-Career,37,0.7838,0.7259,0.8108,0.6486,0.0417,0.5385,0.9583,0.4615
female : divorced/separated/married + Mid-Career,11,0.6364,0.5417,0.8182,0.6364,0.1429,0.7500,0.8571,0.2500
male : married/widowed + Early-Middle,3,0.3333,0.2500,1.0000,0.3333,0.0000,1.0000,1.0000,0.0000
male : married/widowed + Mid-Career,6,0.6667,0.4000,0.8333,0.8333,0.2000,1.0000,0.8000,0.0000
male : divorced/separated + Early-Middle,6,0.6667,0.6667,0.6667,0.3333,0.0000,0.5000,1.0000,0.5000
male : divorced/separated + Mid-Career,3,0.3333,0.2500,0.6667,0.6667,0.5000,1.0000,0.5000,0.0000
male : single + Late-Career,6,0.8333,0.7778,0.8333,0.6667,0.0000,0.5000,1.0000,0.5000
