status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_original,combined_group,sample_weight,personal_status_sex_age_combined
... < 100 DM,6,critical account/other credits existing,domestic appliances,1169,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,2,skilled employee/official,1,yes,yes,1,67,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,0,22,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,12,critical account/other credits existing,retraining,2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,Mid-Career,none,own,1,unskilled - resident,2,no,yes,1,49,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,Mid-Career,none,for free,1,skilled employee/official,2,no,yes,1,45,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,2,no,yes,0,53,male : single_Mid-Career,1.875,male : single_Mid-Career
no checking account,36,existing credits paid back duly till now,retraining,9055,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,unskilled - resident,2,yes,yes,1,35,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,53,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Early-Middle,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,35,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,domestic appliances,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,Late-Career,none,own,1,unskilled - resident,1,no,yes,1,61,male : divorced/separated_Late-Career,0.6666666666666666,male : divorced/separated_Late-Career
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,28,male : married/widowed_Young,1.7647058823529411,male : married/widowed_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,0,25,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,48,existing credits paid back duly till now,others,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,0,24,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,1,22,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
... < 100 DM,24,critical account/other credits existing,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Late-Career,none,own,2,unskilled - resident,1,no,yes,0,60,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
