status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,age_original,credit_risk,personal_status_sex_age_combined
... < 100 DM,6,critical account/other credits existing,domestic appliances,1169,unknown/no savings account,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,2,skilled employee/official,1,yes,yes,67,1,male : single_Late-Career
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,5951,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,22,0,female : divorced/separated/married_Young
no checking account,12,critical account/other credits existing,retraining,2096,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,Mid-Career,none,own,1,unskilled - resident,2,no,yes,49,1,male : single_Mid-Career
... < 100 DM,42,existing credits paid back duly till now,radio/television,7882,... < 100 DM,4 <= ... < 7 years,2,male : single,guarantor,4,building society savings agreement/life insurance,Mid-Career,none,for free,1,skilled employee/official,2,no,yes,45,1,male : single_Mid-Career
... < 100 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,Mid-Career,none,for free,2,skilled employee/official,2,no,yes,53,0,male : single_Mid-Career
no checking account,36,existing credits paid back duly till now,retraining,9055,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,unskilled - resident,2,yes,yes,35,1,male : single_Early-Middle
no checking account,24,existing credits paid back duly till now,radio/television,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,yes,53,1,male : single_Mid-Career
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,car or other,Early-Middle,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,35,1,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,domestic appliances,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,Late-Career,none,own,1,unskilled - resident,1,no,yes,61,1,male : divorced/separated_Late-Career
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,28,0,male : married/widowed_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,1,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,25,0,female : divorced/separated/married_Young
... < 100 DM,48,existing credits paid back duly till now,others,4308,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,24,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,22,1,female : divorced/separated/married_Young
... < 100 DM,24,critical account/other credits existing,car (new),1199,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Late-Career,none,own,2,unskilled - resident,1,no,yes,60,0,male : single_Late-Career
... < 100 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,28,1,female : divorced/separated/married_Young
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,Early-Middle,none,own,1,unskilled - resident,1,no,yes,32,0,female : divorced/separated/married_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,2424,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,own,2,skilled employee/official,1,no,yes,53,1,male : single_Mid-Career
... < 100 DM,30,no credits taken/all credits paid back duly,others,8072,unknown/no savings account,... < 1 year,2,male : single,none,3,car or other,Young,bank,own,3,skilled employee/official,1,no,yes,25,1,male : single_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,44,0,female : divorced/separated/married_Mid-Career
