Group,Count,Accuracy,F1 Score,Selection Rate,Base Rate,FNR,FPR,TPR,TNR
male : single + Young,38,0.6316,0.5522,0.7368,0.6842,0.2308,0.6667,0.7692,0.3333
male : single + Early-Middle,59,0.8305,0.5948,0.9153,0.8475,0.0600,0.7778,0.9400,0.2222
female : divorced/separated/married + Young,40,0.7000,0.6581,0.7500,0.6000,0.1250,0.5625,0.8750,0.4375
male : married/widowed + Young,14,0.7143,0.5758,0.9286,0.6429,0.0000,0.8000,1.0000,0.2000
female : divorced/separated/married + Early-Middle,15,0.8000,0.4444,1.0000,0.8000,0.0000,1.0000,1.0000,0.0000
male : divorced/separated + Young,1,0.0000,0.0000,1.0000,0.0000,0,1.0000,0,0.0000
female : divorced/separated/married + Late-Career,11,0.9091,0.8070,0.9091,0.8182,0.0000,0.5000,1.0000,0.5000
male : single + Mid-Career,37,0.7568,0.6813,0.8378,0.6486,0.0417,0.6154,0.9583,0.3846
female : divorced/separated/married + Mid-Career,11,0.6364,0.3889,1.0000,0.6364,0.0000,1.0000,1.0000,0.0000
male : married/widowed + Early-Middle,3,0.3333,0.2500,1.0000,0.3333,0.0000,1.0000,1.0000,0.0000
male : married/widowed + Mid-Career,6,0.6667,0.4000,0.8333,0.8333,0.2000,1.0000,0.8000,0.0000
male : divorced/separated + Early-Middle,6,0.6667,0.6667,0.6667,0.3333,0.0000,0.5000,1.0000,0.5000
male : divorced/separated + Mid-Career,3,0.3333,0.2500,0.6667,0.6667,0.5000,1.0000,0.5000,0.0000
male : single + Late-Career,6,0.8333,0.7778,0.8333,0.6667,0.0000,0.5000,1.0000,0.5000
